,Name,min1,index1,min2,index2,min3,index3,min4,index4,min5,index5,min6,index6,max,max_index,maxAi,maxA,maxAw,scan_number,maxA0i,maxA0,maxA0w,maxBi,maxB,maxBw,maxCi,maxC,maxCw,Int_A,Int_C,Int_N_A,Unnamed: 0
0,ASW_2020_09_15_1,-0.01729266,6630,-0.009476378,4293,-0.009150573,4147,0.001202779,2482,0.001967053,2281,0.008000653,490,0.2779766,5124,5124,0.2902323234608472,3270.2490000000007,1,5124.0,0.2779766,3270.2490000000007,2936,0.008422419160960957,2215.361,1777,0.022220669512562817,1656.579,96.29200315234516,6.703636081754103,100.00000000000016,
1,ASW_2020_09_15_2,-0.01748862,6636,-0.008994884,4161,-0.009001405,4132,0.002430109,2480,0.003481556,2281,0.009176878,474,0.3958895,5074,5074,0.4080176288355555,3246.143,2,5074.0,0.3958895,3246.143,2976,0.012061513121065376,2234.646,1754,0.021661939742114,1645.49,111.47019352250172,7.622334462334473,115.76266966441929,
2,ASW_2020_09_15_3,-0.01784931,6636,-0.00971482,4151,-0.009664497,4132,0.001594619,2463,0.003062862,2269,0.007826916,476,0.4006492,5047,5047,0.4132970192112677,3233.125,3,5047.0,0.4006492,3233.125,2974,0.012330949859197124,2233.682,1691,0.02122640491466815,1615.116,112.35901420934178,8.42443749998823,116.685716914183,
3,ASW_2020_09_15_4,-0.006971228,6630,-0.004297984,4149,-0.004221556,4120,0.002219502,2473,0.002968179,2279,0.005999863,829,0.2030903,5037,5037,0.2083450920096735,3228.304,4,5037.0,0.2030903,3228.304,2976,0.006884152360048572,2234.646,1574,0.013022905331034479,1558.708,53.70086677110133,4.010564801614539,55.76877104336521,
0,ASW_2020_09_16_1,-0.01884437,6636,-0.008463734,4235,-0.00836861,4139,-0.0014176660000000002,2403,-0.0007856044999999999,2269,0.005145181,530,0.2784015,5120,5120,0.2906914992478134,3268.321,1,5120.0,0.2784015,3268.321,2945,0.009284221999999998,2219.7,1773,0.023557247606382982,1654.651,95.91307853242188,6.9522392995738205,100.00000000000013,
1,ASW_2020_09_16_2,-0.01737648,6636,-0.006804087,4235,-0.006713899999999999,4139,0.0002161431,2432,0.0008633888,2269,0.00673157,474,0.28189780000000003,5112,5112,0.2925636065589338,3264.4640000000004,2,5112.0,0.28189780000000003,3264.4640000000004,2945,0.009251383631282951,2219.7,1771,0.02360225869994429,1653.686,96.2715744317146,7.0640484030452635,100.37377165322785,
2,ASW_2020_09_16_3,-0.01520768,6636,-0.005246901,4197,-0.00516468,4130,0.0013097439999999998,2413,0.0017962579999999996,2269,0.007620571,474,0.3001556,5112,5112,0.3091393246100861,3264.4640000000004,3,5112.0,0.3001556,3264.4640000000004,2947,0.010343403884100176,2220.665,1754,0.02436190955153204,1645.49,98.37253466787158,7.669779556286277,102.56425523305259,
3,ASW_2020_09_16_4,-0.01474852,6631,-0.004931184,4197,-0.004867383,4130,0.0016262479999999998,2413,0.002151517,2269,0.007906358,474,0.30545500000000003,5112,5112,0.314076760187346,3264.4640000000004,4,5112.0,0.30545500000000003,3264.4640000000004,2947,0.010511720406523005,2220.665,1754,0.02428928262952646,1645.49,98.94991582661922,7.710412095395387,103.16623899541594,
4,ASW_2020_09_16_5,-0.0142743,6620,-0.004423543,4245,-0.004361837,4130,0.0022122820000000003,2413,0.002701725,2269,0.008532786,474,0.3077751,5112,5112,0.3157946877658947,3264.4640000000004,5,5112.0,0.3077751,3264.4640000000004,2947,0.01056207878392545,2220.665,1754,0.024293446495821727,1645.49,99.12895866786171,7.740047164885187,103.35291097381771,
5,ASW_2020_09_16_6,-0.01361618,6636,-0.003844794,4235,-0.003753901,4139,0.003360526,2444,0.003725412,2281,0.008334694,457,0.33719770000000004,5093,5100,0.344536697577676,3258.678,6,5093.0,0.33719770000000004,3255.303,2949,0.010078361542772859,2221.629,1756,0.023139263213815788,1646.454,102.42735453672393,8.04792724719961,106.79185373254406,
